#{"t_start": 1592293946.6467316, "env_id": null}
r,l,t
-55,10,14.006179
-9,10,14.023817
5,10,14.042366
-35,10,14.060615
-3,10,14.081236
-98,10,14.105173
31,10,14.130106
28,10,14.155659
68,10,14.183083
102,10,14.208029
42,10,14.233585
-18,10,14.256487
22,10,14.282005
108,10,14.344798
65,10,14.364782
17,10,14.384691
31,10,14.405673
2,10,14.425584
-95,10,14.444023
5,10,14.465965
57,10,14.487512
-35,10,14.514478
-21,10,14.53339
85,10,14.551342
-61,10,14.569294
-104,10,14.587246
68,10,14.637113
-38,10,14.657059
65,10,14.674016
-21,10,14.69396
108,10,14.715235
71,10,14.735924
-43,10,14.757825
2,10,14.778705
59,10,14.802078
-101,10,14.823892
25,10,14.845377
42,10,14.86929
-55,10,14.890199
74,10,14.950769
28,10,15.007622
-41,10,15.050503
88,10,15.0904
2,10,15.111339
56,10,15.135277
14,10,15.157217
14,10,15.208081
-1,10,15.286871
168,10,15.357196
62,10,15.412049
-4,10,15.45693
-112,10,15.49383
-130,10,15.572628
-47,10,15.595567
-9,10,15.622495
-12,10,15.650432
90,10,15.689315
8,10,15.718239
-18,10,15.745166
96,10,15.778077
-41,10,15.809994
122,10,15.878811
25,10,15.911722
11,10,15.943635
56,10,16.008465
8,10,16.03938
22,10,16.089247
134,10,16.124153
108,10,16.161569
56,10,16.202458
105,10,16.252326
151,10,16.312164
68,10,16.341833
68,10,16.369759
77,10,16.392696
-78,10,16.422616
51,10,16.444558
59,10,16.524345
71,10,16.569225
42,10,16.62009
39,10,16.652004
111,10,16.684926
42,10,16.709856
-53,10,16.729803
-32,10,16.755734
-87,10,16.777677
-21,10,16.804603
42,10,16.826544
11,10,16.849485
7,10,16.879405
-61,10,16.944229
16,10,16.96717
-38,10,16.990106
-32,10,17.016037
-61,10,17.038976
28,10,17.05992
71,10,17.086848
5,10,17.110785
40,10,17.136715
59,10,17.160651
-18,10,17.185585
42,10,17.208522
-61,10,17.236448
74,10,17.293296
56,10,17.320224
-15,10,17.343163
19,10,17.372085
-58,10,17.394039
-30,10,17.417962
25,10,17.439903
28,10,17.460296
48,10,17.481205
-21,10,17.506139
-9,10,17.526083
54,10,17.547028
122,10,17.569966
19,10,17.620831
30,10,17.638783
-35,10,17.656733
2,10,17.675763
96,10,17.693713
5,10,17.712703
51,10,17.732523
91,10,17.751475
45,10,17.771423
39,10,17.791334
-7,10,17.810623
51,10,17.82931
-9,10,17.880519
79,10,17.901503
11,10,17.921412
-18,10,17.94036
-52,10,17.960308
19,10,17.981545
-3,10,18.002513
108,10,18.022662
48,10,18.043607
102,10,18.063294
45,10,18.082479
50,10,18.100287
54,10,18.119287
-32,10,18.166841
14,10,18.184757
-58,10,18.203705
76,10,18.224648
71,10,18.243599
5,10,18.262187
48,10,18.280734
97,10,18.300132
62,10,18.318819
-9,10,18.338805
-101,10,18.359275
10,10,18.379662
128,10,18.399671
39,10,18.452791
-1,10,18.473412
108,10,18.494838
-78,10,18.515767
45,10,18.536927
-49,10,18.555838
-115,10,18.575825
34,10,18.59673
85,10,18.617673
74,10,18.638112
122,10,18.659135
-18,10,18.678566
-61,10,18.698841
28,10,18.752702
48,10,18.772828
-38,10,18.792733
16,10,18.814675
39,10,18.835425
42,10,18.85687
27,10,18.882766
22,10,18.905744
-81,10,18.934628
-84,10,18.95956
28,10,18.983497
19,10,19.005437
5,10,19.026381
-49,10,19.082232
76,10,19.10517
82,10,19.127113
-12,10,19.152046
-61,10,19.171992
-24,10,19.191939
117,10,19.20989
91,10,19.231636
77,10,19.25158
82,10,19.273381
