#{"t_start": 1589363563.0265014, "env_id": null}
r,l,t
80,10,10.505469
40,10,10.52142
80,10,10.5371
60,10,10.552712
39,10,10.567709
74,10,10.583631
18,10,10.598295
-1,10,10.613228
60,10,10.629189
-3,10,10.644145
-24,10,10.659562
-4,10,10.674203
16,10,10.717463
38,10,10.732405
-42,10,10.747076
100,10,10.764073
-3,10,10.778676
-1,10,10.793113
-21,10,10.807039
76,10,10.823993
-1,10,10.838954
0,10,10.855774
0,10,10.870699
-108,10,10.885695
16,10,10.901042
-108,10,10.942613
18,10,10.958572
20,10,10.973376
-106,10,10.988953
40,10,11.003912
40,10,11.018831
-23,10,11.034789
-2,10,11.048751
-20,10,11.063239
-3,10,11.077958
20,10,11.092649
-2,10,11.108151
40,10,11.125106
60,10,11.168092
-1,10,11.183407
38,10,11.19835
75,10,11.214345
-2,10,11.230069
60,10,11.245028
18,10,11.260986
37,10,11.276686
0,10,11.29127
-24,10,11.306229
-23,10,11.320193
-62,10,11.335153
-1,10,11.380022
17,10,11.394997
56,10,11.410233
-4,10,11.425232
-1,10,11.441187
35,10,11.458106
-20,10,11.47244
19,10,11.488822
-45,10,11.502784
80,10,11.520067
-61,10,11.53368
100,10,11.550214
39,10,11.56459
-21,10,11.608941
60,10,11.624896
40,10,11.640132
-41,10,11.654232
100,10,11.671293
-22,10,11.686594
80,10,11.702512
35,10,11.718509
-45,10,11.733533
-106,10,11.746907
58,10,11.762866
-22,10,11.777275
20,10,11.791237
60,10,11.835042
-2,10,11.851885
56,10,11.868391
-2,10,11.883351
40,10,11.898704
-44,10,11.913422
-6,10,11.928214
-2,10,11.943522
40,10,11.960885
15,10,11.976842
-23,10,11.990813
18,10,12.00776
59,10,12.024441
40,10,12.066726
-1,10,12.082561
20,10,12.096524
-20,10,12.111147
0,10,12.124908
18,10,12.140863
20,10,12.155456
0,10,12.170098
56,10,12.185531
-107,10,12.200495
75,10,12.21588
100,10,12.232835
-107,10,12.247839
20,10,12.290061
-41,10,12.304646
0,10,12.319581
18,10,12.3345
60,10,12.352489
18,10,12.368447
80,10,12.385404
-21,10,12.399774
75,10,12.416106
16,10,12.430629
20,10,12.446587
40,10,12.462167
-42,10,12.503799
20,10,12.519072
-3,10,12.534992
-23,10,12.549408
60,10,12.566367
-108,10,12.581102
-20,10,12.595397
-21,10,12.61032
-24,10,12.625003
-1,10,12.640709
40,10,12.65634
19,10,12.670302
0,10,12.685303
39,10,12.7286
-21,10,12.742344
-1,10,12.758153
100,10,12.774071
-2,10,12.788062
-1,10,12.802869
20,10,12.817831
0,10,12.833208
60,10,12.849164
20,10,12.865956
20,10,12.880914
-5,10,12.896437
40,10,12.911413
-22,10,12.953774
20,10,12.968773
-21,10,12.983416
59,10,12.998231
40,10,13.013196
-20,10,13.027277
17,10,13.044232
-20,10,13.058228
-20,10,13.07263
-2,10,13.087835
-1,10,13.102865
19,10,13.117792
0,10,13.132562
80,10,13.175399
40,10,13.190896
60,10,13.206852
80,10,13.222853
-1,10,13.237492
-106,10,13.251456
38,10,13.2663
19,10,13.282119
-3,10,13.297989
0,10,13.325632
20,10,13.349059
19,10,13.365495
38,10,13.381418
20,10,13.424398
39,10,13.439346
18,10,13.454308
19,10,13.470139
-107,10,13.484067
56,10,13.500779
60,10,13.516313
20,10,13.530274
0,10,13.545484
40,10,13.560853
80,10,13.577543
-109,10,13.592462
40,10,13.635458
19,10,13.651416
59,10,13.665785
-22,10,13.680745
80,10,13.697741
-1,10,13.71266
-23,10,13.727661
20,10,13.741582
60,10,13.757141
-43,10,13.773024
100,10,13.78897
40,10,13.803897
100,10,13.82088
40,10,13.867874
38,10,13.883834
0,10,13.898894
60,10,13.914554
17,10,13.930084
-22,10,13.946841
-1,10,13.966749
0,10,13.983706
80,10,13.999555
37,10,14.014471
80,10,14.031044
-106,10,14.045271
-20,10,14.060302
100,10,14.10482
75,10,14.120593
0,10,14.136592
40,10,14.151232
60,10,14.167289
40,10,14.183107
18,10,14.197906
40,10,14.214078
-108,10,14.229549
79,10,14.244799
37,10,14.260378
60,10,14.277071
93,10,14.292419
17,10,14.338846
-4,10,14.35281
80,10,14.370806
19,10,14.385408
20,10,14.400369
38,10,14.414764
-107,10,14.429983
-108,10,14.443948
80,10,14.459904
37,10,14.475538
-1,10,14.490497
-21,10,14.50548
60,10,14.522413
-4,10,14.564878
-24,10,14.579841
60,10,14.598391
-21,10,14.61273
17,10,14.627903
36,10,14.643864
20,10,14.658437
19,10,14.673424
-24,10,14.688341
-106,10,14.703301
77,10,14.721253
19,10,14.736942
76,10,14.781821
17,10,14.797748
60,10,14.813706
34,10,14.829702
20,10,14.845654
36,10,14.862574
-64,10,14.878532
39,10,14.893491
20,10,14.907839
20,10,14.923113
-1,10,14.938397
-21,10,14.953596
19,10,14.969551
20,10,15.012295
-110,10,15.028252
-21,10,15.04421
60,10,15.059131
-84,10,15.073095
57,10,15.088114
17,10,15.103778
-21,10,15.118434
15,10,15.133395
60,10,15.148704
35,10,15.164826
18,10,15.179653
80,10,15.196609
-2,10,15.239101
-21,10,15.254061
-4,10,15.26906
-23,10,15.283991
-107,10,15.298069
-20,10,15.313213
39,10,15.329217
-21,10,15.34613
80,10,15.363414
-3,10,15.378467
20,10,15.393688
100,10,15.410473
20,10,15.425142
-62,10,15.467456
55,10,15.48238
40,10,15.497525
40,10,15.514291
-106,10,15.528261
-44,10,15.543213
-3,10,15.558462
75,10,15.574457
-3,10,15.590379
100,10,15.607314
17,10,15.622239
20,10,15.637559
37,10,15.653517
36,10,15.695955
38,10,15.711585
58,10,15.726687
40,10,15.742733
18,10,15.757691
0,10,15.772228
0,10,15.786447
56,10,15.802309
0,10,15.816595
20,10,15.832229
20,10,15.847229
80,10,15.865178
-1,10,15.908882
18,10,15.924873
19,10,15.938801
-20,10,15.954012
17,10,15.969929
56,10,15.984686
19,10,15.999644
60,10,16.015752
60,10,16.03171
36,10,16.047409
53,10,16.062877
40,10,16.078321
-108,10,16.093484
-109,10,16.137338
-6,10,16.152682
80,10,16.168514
-104,10,16.182913
54,10,16.198457
-4,10,16.214413
39,10,16.229454
-21,10,16.243371
-1,10,16.259396
60,10,16.274356
-44,10,16.289319
-105,10,16.303246
0,10,16.31804
19,10,16.362923
54,10,16.378883
38,10,16.395832
100,10,16.411528
0,10,16.426455
0,10,16.441219
100,10,16.458541
-65,10,16.472516
-64,10,16.487124
0,10,16.502544
-21,10,16.517372
19,10,16.533149
20,10,16.548151
-22,10,16.590599
-1,10,16.60549
54,10,16.621447
20,10,16.636405
14,10,16.652403
80,10,16.667364
40,10,16.683342
20,10,16.698345
-2,10,16.713301
18,10,16.729272
-22,10,16.743911
-107,10,16.759723
-2,10,16.773585
19,10,16.817051
0,10,16.832012
55,10,16.848965
-26,10,16.863925
58,10,16.879242
40,10,16.894246
58,10,16.908916
0,10,16.922727
15,10,16.938859
-2,10,16.954752
40,10,16.970669
56,10,16.989618
34,10,17.038488
40,10,17.057439
-20,10,17.074395
-1,10,17.091347
76,10,17.113288
53,10,17.130242
80,10,17.150189
18,10,17.168142
-20,10,17.187092
18,10,17.208035
-105,10,17.220977
19,10,17.235939
-21,10,17.250898
34,10,17.296263
80,10,17.312387
-5,10,17.327626
20,10,17.344582
-3,10,17.359541
56,10,17.377495
38,10,17.391496
20,10,17.407414
-1,10,17.422387
80,10,17.440355
-1,10,17.454282
-1,10,17.469461
-21,10,17.48408
60,10,17.527035
39,10,17.542361
0,10,17.557844
-1,10,17.572081
0,10,17.587041
-1,10,17.601003
-23,10,17.61536
17,10,17.630913
35,10,17.645871
80,10,17.662828
-1,10,17.677061
80,10,17.693375
20,10,17.709229
60,10,17.752281
