#{"t_start": 1589271998.2475817, "env_id": null}
r,l,t
134,20,17.666435
155,20,17.698348
133,20,17.729233
94,20,17.760254
77,20,17.791369
157,20,17.821481
174,20,17.880221
175,20,17.91354
152,20,17.94564
171,20,17.978168
138,20,18.009094
153,20,18.040707
172,20,18.100398
137,20,18.133274
154,20,18.165418
134,20,18.196828
152,20,18.229003
155,20,18.258837
132,20,18.318845
175,20,18.348589
153,20,18.381601
174,20,18.414509
110,20,18.446425
131,20,18.478376
93,20,18.509256
